id,sigma_xx,sigma_yy,sigma_zz,tau_xy,tau_yz,tau_zx,sigma_Y,temperature_c,strain_rate,batch_id,yielded
0,163.94,-42.761,30.8344,33.9077,69.0271,82.2036,170.1,58.0507,0.000302954,11,1
1,-121.245,-55.3799,-95.1307,82.4455,0.0408744,38.5809,191.452,69.7978,0.000987907,0,1
2,107.885,67.3065,136.404,142.137,-91.5981,109.062,284.404,87.7381,0.0333247,6,1
3,73.2865,67.8583,-71.4417,17.512,56.0462,22.3578,207.923,20.7763,0.000376924,22,1
4,-122.335,4.52968,10.6247,16.3338,-38.4416,-121.518,164.867,116.396,0.0186842,12,1
5,-29.934,-168.112,57.4702,-5.51096,-86.0074,-73.1099,249.085,75.5057,0.000164047,8,0
6,85.0225,-241.733,62.7177,18.6721,258.668,-116.597,239.515,33.1068,0.0200236,4,1
7,-66.3898,-59.69,-40.8483,-85.2812,4.40382,-77.203,233.23,92.2015,0.00447063,15,0
8,-11.2451,151.702,-47.0747,-89.9942,-1.21231,89.4722,227.251,97.4838,0.000230239,10,1
9,-149.043,11.0858,64.3226,41.2707,112.022,-135.536,195.254,51.5743,0.00112185,1,1
10,78.3778,-34.5847,117.567,-43.0238,-13.0271,48.5613,174.478,113.494,0.00239322,17,1
11,-61.4166,46.3261,39.237,-44.0448,-91.3452,-63.0204,231.701,58.6398,0.00043939,8,1
12,-57.2668,-13.2575,54.157,-82.9483,-104.172,-1.27132,217.868,79.8876,0.00034284,2,1
13,-63.1357,7.16802,47.2306,-81.3788,58.6765,-18.8803,231.232,115.962,0.00492314,12,0
14,2.52724,-32.3321,-109.375,35.7882,-5.32832,90.8867,225.353,78.8441,0.000137194,13,0
15,145.753,16.0551,-226.249,-63.6076,75.9533,-13.5566,234.013,58.7908,0.000248117,7,1
16,-203.689,103.805,30.1503,-100.404,-69.2626,104.481,223.122,80.143,0.00364449,4,1
17,81.2231,59.4587,-18.1091,76.5177,-29.7555,51.9049,203.234,46.647,0.000406395,12,1
18,103.132,-1.77913,-197.574,16.4443,28.9642,7.60803,201.34,44.3124,0.000278115,17,1
19,-103.326,-20.042,120.69,2.42825,26.779,28.374,217.887,33.0264,0.000226285,5,0
20,35.1838,-56.6571,-37.4721,105.164,66.2022,57.1025,228.682,50.3242,0.00165146,12,1
21,-90.6346,15.3966,37.3911,4.33766,62.6059,-27.1143,249.761,92.841,0.000108188,11,0
22,-147.293,72.9456,0.545561,-43.1424,237.025,-134.797,243.436,64.9109,0.00408236,12,1
23,-114.905,-38.5815,-175.005,133.883,38.2081,71.206,209.919,32.2635,0.000580391,22,1
24,162.171,93.7188,-150.674,38.9104,-88.2846,44.3796,190.087,119.961,0.000308685,9,1
25,-26.1353,-4.36302,128.646,-101.421,35.731,12.9925,235.793,107.177,0.0186928,0,1
26,-107.974,93.2814,28.9553,37.5417,-111.688,85.9549,203.867,84.9796,0.00327178,3,1
27,-19.2408,18.389,129.341,-142.065,57.6659,-23.6298,227.134,44.1518,0.0940616,18,1
28,-19.8159,155.226,-90.2888,78.0611,150.513,33.0285,202.196,63.3381,0.000454191,6,1
29,30.123,108.809,-137.051,-74.5636,42.1007,-78.9855,195.772,75.5506,0.000188669,4,1
30,-122.671,-57.1944,-58.286,-3.37879,84.6831,90.9257,231.911,52.4353,0.0161287,15,0
31,4.56444,13.2023,-159.472,62.7849,-23.5594,122.385,219.068,109.054,0.00807326,11,1
32,-58.626,-17.3277,-24.0475,171.077,69.298,-47.739,217.929,74.8254,0.0559808,1,1
33,-63.7642,52.3365,39.1333,109.54,61.428,-7.79027,275.76,42.9858,0.00637857,9,0
34,-163.331,-32.188,-83.0325,-94.3556,-8.86871,-88.5344,224.674,90.2779,0.0173448,18,1
35,-24.9292,-5.29721,-73.2837,-44.7932,28.5152,118.829,201.848,89.6294,0.000163945,15,1
36,-22.6806,-38.6128,136.082,72.1788,41.3586,143.503,192.659,52.4106,0.000127843,15,1
37,-14.7816,-18.2927,81.3306,-48.6586,-3.82898,-4.41446,242.933,85.2558,0.000154132,11,0
38,181.334,-91.6524,50.0293,-2.91311,61.9539,-17.1516,231.329,114.914,0.000736373,21,1
39,123.294,57.3456,-98.5422,19.8516,-72.0234,-23.2108,217.072,84.3201,0.00106893,15,0
40,-170.882,62.7417,60.7156,91.8843,-26.7462,-94.0634,216.939,38.0259,0.000362148,19,1
41,60.5112,-7.22128,152.127,22.8445,31.558,40.741,212.302,93.381,0.00487536,9,0
42,-30.8384,14.7774,75.4781,-2.42241,-32.7562,-84.0597,208.707,116.333,0.000191555,16,0
43,-69.3758,-14.2666,-102.329,-105.869,73.1045,51.4001,257.396,28.3296,0.000688707,11,0
44,10.293,-12.732,14.8551,-169.493,-92.732,75.6611,227.261,20.9569,0.00732596,9,1
45,-40.3021,36.1166,35.5719,20.9549,56.097,-82.0619,234.49,45.1151,0.0676178,4,0
46,-28.2088,-30.2531,37.6018,-30.5983,-6.23322,107.33,221.364,84.0388,0.0144845,17,0
47,90.1274,-85.6293,-59.4883,69.2243,38.6714,45.7062,208.94,50.2575,0.00011897,7,1
48,-44.7704,-1.37501,-152.991,82.024,-117.944,26.1775,204.844,38.7766,0.0019485,3,1
49,104.65,52.2446,82.8154,-29.0852,59.1454,116.296,203.748,86.8809,0.0138561,5,1
50,-35.8792,-36.8718,10.038,29.2589,45.1699,40.2142,257.634,80.6053,0.000321957,14,0
51,114.059,169.444,-197.643,51.5412,80.1646,-204.951,244.584,113.667,0.000904433,5,1
52,-40.1554,22.9829,-21.5404,2.01165,119.219,-47.4358,209.308,49.2424,0.00748289,2,1
53,84.7983,-126.094,-25.9253,-66.5301,102.251,-118.793,238.733,113.885,0.00664526,19,1
54,-86.9202,208.4,-110.85,45.894,18.7194,-110.471,241.14,25.3256,0.000415211,23,1
55,6.06876,-72.0239,103.451,-5.42643,-112.996,3.47596,176.648,90.3368,0.000374096,13,1
56,122.208,69.1783,65.927,20.6967,-33.6552,-76.8002,212.529,73.3869,0.000105405,5,0
57,-127.998,63.5122,-132.54,4.78337,29.8921,52.425,244.291,95.9039,0.00094737,13,0
58,-82.0804,111.67,31.5425,-101.357,-31.2223,-6.50874,219.195,31.355,0.0657545,16,1
59,-7.68845,-24.5374,-10.285,-76.4726,306.288,-69.3224,258.952,105.739,0.0457277,20,1
60,-31.2365,21.5458,76.8555,4.016,60.2882,91.998,254.663,93.7673,0.00862584,7,0
61,36.0871,-34.0542,82.1034,-103.464,7.37504,-52.3743,187.533,108.739,0.000734691,23,1
62,-29.5228,-15.4621,-59.2076,-141.956,-32.0372,-174.01,235.558,117.29,0.0109294,6,1
63,-17.0402,43.7369,221.467,88.2192,166.2,-86.8488,224.072,84.99,0.000246409,16,1
64,-90.3079,-25.7442,-119.673,-102.376,-44.0454,-36.203,255.967,42.6316,0.00635023,12,0
65,-131.3,56.849,18.6695,-82.1832,-130.465,-39.013,235.821,79.0083,0.020214,18,1
66,59.4599,2.74492,-206.82,-46.643,-58.9124,144.005,240.481,84.2536,0.0604541,9,1
67,-123.756,-137.325,-56.0103,172.517,73.9023,28.0412,220.296,84.194,0.000368185,20,1
68,-46.8345,23.9497,35.0227,11.2894,108.901,70.2125,231.108,102.122,0.0517234,2,1
69,34.5064,149.354,151.676,97.4544,-165.952,81.3333,213.482,89.5179,0.000172726,1,1
70,-44.6001,39.0736,-181.725,-104.991,28.1316,-68.6449,165.095,93.9152,0.00985898,22,1
71,116.579,-125.408,-98.7199,90.9077,-183.26,-57.1023,212.914,50.8827,0.00936175,15,1
72,-17.7018,87.9081,138.972,86.8349,-101.049,-61.6915,182.47,36.7322,0.0126375,23,1
73,-23.5963,51.6686,-31.7073,-151.312,45.6578,35.4254,208.254,50.8184,0.000120099,3,1
74,-112.645,35.9505,6.34349,106.837,85.2316,6.34583,203.003,61.2379,0.000210683,3,1
75,-7.45645,-59.6416,48.2867,-51.4132,27.2412,-121.945,210.999,83.3359,0.0524747,23,1
76,174.44,15.8511,-73.123,1.39299,-91.3542,-29.7853,215.55,58.0099,0.00141717,13,1
77,101.399,-32.7801,64.4325,-35.2191,57.4815,120.57,190.883,88.9216,0.0536105,11,1
78,230.624,10.6376,-109.369,178.263,-85.2183,-15.6211,241.516,95.1809,0.000455542,1,1
79,132.965,66.2681,-0.599604,-15.302,-102.952,15.894,224.056,22.6251,0.0158952,2,1
80,-54.1742,49.2045,-40.9105,-94.2777,-118.659,48.806,221.982,116.085,0.00699175,24,1
81,40.2882,-67.6513,101.07,-215.814,-155.659,79.2476,247.131,108.133,0.00807024,8,1
82,-14.9898,-37.58,-3.89439,-16.1834,-66.596,91.1716,172.049,106.354,0.0100965,0,1
83,57.6512,-17.998,-67.6136,-65.255,121.923,-38.6703,229.981,63.3628,0.00312785,24,1
84,-90.3075,41.7257,-46.0737,-12.1532,74.211,-58.9422,188.808,66.9457,0.00814661,10,0
85,-215.344,-150.4,-130.175,-40.7928,38.4034,-99.9015,198.919,74.8745,0.0547845,20,1
86,90.6818,65.123,78.1466,35.4303,-29.2807,-1.94667,243.57,33.7438,0.00212352,11,0
87,-16.0875,115.991,-136.745,58.5306,-47.9928,-95.4624,215.035,58.8076,0.000336802,24,1
88,93.7957,65.8397,-122.01,8.46357,155.954,7.64128,210.431,110.455,0.00533793,6,1
89,100.658,1.44281,-62.589,19.1073,-0.325598,46.9152,205.578,33.7878,0.095631,10,0
90,14.9679,54.8729,-36.9242,-104.266,-22.8862,49.9243,272.837,60.0495,0.00568019,12,0
91,101.459,21.3538,-98.0256,50.5507,108.383,110.877,201.675,94.9988,0.0296757,23,1
92,-21.292,172.439,24.8553,-77.4323,40.0707,0.930244,250.004,51.2079,0.000502139,23,0
93,-154.53,-208.875,20.6997,190.884,126.087,218.218,222.844,55.0665,0.0077743,20,1
94,-61.1351,-88.6401,-7.28761,-19.9806,68.0252,104.939,267.833,95.154,0.0125699,11,0
95,-68.968,-131.713,88.7802,56.2632,-61.2589,64.8207,224.821,51.0352,0.00152988,23,1
96,53.502,-82.1821,-37.8622,1.08363,73.0916,-5.76118,208.205,84.8343,0.000147035,5,0
97,55.8752,-138.414,-37.0929,-153.431,197.879,-112.335,219.106,82.1608,0.010184,2,1
98,118.881,-39.9015,74.1569,-80.0945,52.4027,16.8113,205.777,58.2097,0.00994882,17,1
99,-21.0544,74.6224,34.5016,-134.656,-18.0362,98.5679,210.324,97.2335,0.000301162,18,1
100,-15.1061,33.9675,-146.195,103.642,-82.475,59.095,169.207,75.5733,0.0474781,4,1
101,116.412,-217.115,182.944,-90.5488,85.9978,64.615,205.961,53.7144,0.000366045,12,1
102,-1.49726,76.0537,83.1671,14.8712,-156.281,-42.7383,206.238,66.7242,0.000171623,15,1
103,-88.7361,-122.278,-23.0897,-104.339,-9.6179,137.914,213.336,39.3392,0.00218695,17,1
104,80.6353,14.1542,126.28,-58.6609,-21.7386,-80.2348,198.168,64.3286,0.0104553,14,0
105,81.0594,-56.6757,78.8416,-14.5132,0.83565,109.561,225.537,87.4526,0.0669242,4,1
106,40.9908,-94.4544,9.44107,-137.854,33.5198,43.9271,223.272,72.7368,0.000165632,17,0
107,-74.6946,108.307,-59.6627,34.0163,-176.418,-98.7801,184.503,96.4163,0.000138428,0,1
108,104.653,3.33733,-228.707,-113.608,25.3524,-128.765,221.667,49.449,0.0023185,23,1
109,34.5501,30.3501,-98.3578,-6.62036,131.195,-34.6018,249.579,33.7416,0.00158792,18,1
110,244.588,125.36,9.6998,-222.118,-111.719,3.97823,204.737,51.3822,0.000277342,17,1
111,-47.9538,191.415,-62.6862,-92.779,7.2146,-67.3179,216.098,78.3965,0.000977364,14,1
112,-24.3636,1.25801,-124.481,180.747,-12.8927,-80.336,201.444,25.3108,0.00992481,21,1
113,-17.5542,182.141,29.057,-20.993,-132.469,-108.718,227.195,56.6642,0.000411165,21,1
114,-2.78527,14.055,97.7563,-110.816,0.259532,34.3881,233.159,111.738,0.00113501,7,1
115,-3.18788,-78.9178,16.1433,-100.889,100.988,-59.981,196.935,29.4934,0.0489791,9,1
116,-94.0314,-95.9866,-30.9437,-97.3506,12.5277,87.3179,207.691,96.9302,0.00205469,4,1
117,7.67456,-45.1813,-49.6373,20.2814,17.6892,-68.4944,208.402,86.5607,0.00823924,13,0
118,77.6958,218.137,2.71245,15.0044,-40.1886,-21.0715,241.077,60.1244,0.000937162,10,1
119,-153.805,105.049,101.1,117.387,-121.47,89.5522,246.01,53.3738,0.00591738,18,1
120,184.999,89.4275,132.009,-84.3143,56.1955,-38.4114,236.888,98.2653,0.00393211,22,0
121,-52.0462,-41.4191,-113.972,-79.8652,22.9988,-12.8263,216.197,98.1608,0.000328726,5,0
122,-129.998,50.8417,-35.8295,-34.731,-79.4149,-66.8942,237.198,52.129,0.0160658,0,1
123,-16.9895,-141.053,34.1299,-12.4199,-75.0499,88.6569,225.858,102.742,0.00012223,23,1
124,80.527,-180.123,-24.1559,-97.0791,91.0931,11.4663,187.578,35.3401,0.000218625,22,1
125,207.498,2.54771,100.261,69.2465,95.8816,-44.442,236.049,69.2133,0.00230984,14,1
126,-99.9062,151.971,-89.0771,96.4172,24.9843,34.5032,193.067,71.6923,0.0655686,9,1
127,39.869,-118.255,7.50174,8.14627,15.4381,-30.6132,208.918,117.79,0.000542678,10,0
128,170.478,-52.9235,-150.135,56.3728,-49.9437,26.9516,216.179,86.0214,0.00704522,16,1
129,-94.4804,-85.088,-85.9492,49.537,47.5683,54.3894,226.542,44.0519,0.0316043,19,0
130,-43.6697,-55.7745,-89.6007,116.721,82.1922,-71.1621,193.554,118.649,0.00506954,15,1
131,-10.5349,180.494,84.9722,-155.053,-36.0645,-40.356,256.943,80.1158,0.0798791,7,1
132,49.1938,10.2289,-24.2648,129.465,-113.7,-115.381,220.06,22.1931,0.000469528,12,1
133,80.3925,115.994,63.8893,24.9952,65.0851,-4.35427,250.611,30.9645,0.0700493,0,0
134,4.12523,34.825,34.3479,3.3612,-17.4243,149.497,255.656,71.1501,0.000103021,18,0
135,-15.2979,64.7795,22.8086,-48.7421,0.450233,-27.8668,252.447,115.782,0.00350396,4,0
136,-156.71,87.6581,-73.6416,8.93965,122.823,-177.752,203.482,42.4166,0.00031019,12,1
137,-43.4504,12.9415,19.548,-18.2535,-32.9863,-75.1697,196.552,80.7675,0.000273918,4,0
138,51.6601,237.345,47.133,106.22,-217.25,59.3553,216.351,78.0718,0.0318867,5,1
139,173.422,56.4859,146.19,118.177,89.928,-24.2505,215.695,105.721,0.00222479,7,1
140,43.2325,69.6622,-193.224,46.7237,77.7128,-39.7156,187.933,118.996,0.00033884,23,1
141,12.1777,-155.8,-8.37431,45.3891,-37.2048,-25.4637,217.221,74.9716,0.0126087,2,0
142,46.1054,-37.7308,82.8278,-81.1185,-9.51897,-3.67354,157.711,71.9453,0.000890108,16,1
143,-240.407,15.3034,115.476,-64.9019,-60.7756,-12.9504,224.813,112.428,0.00127408,9,1
144,-40.8882,-141.031,-58.6857,161.186,-15.324,-27.2613,247.541,68.6997,0.000190218,12,1
145,-4.23733,-188.232,-124.355,21.7639,-2.35701,-194.002,219.25,31.9295,0.000734058,9,1
146,152.557,44.7454,-75.6284,-209.183,112.75,-33.0391,229.015,62.6118,0.00832823,14,1
147,-18.558,28.77,-66.2447,147.147,-91.3326,23.037,244.695,109.028,0.0194034,9,1
148,65.5202,-65.7877,-66.0747,-44.3086,50.4981,-92.3559,222.784,49.2245,0.000851084,0,0
149,-31.2286,-95.3596,-153.564,75.8643,-166.483,-71.4337,220.844,79.3145,0.0568576,0,1
150,-27.4929,169.505,5.56249,-60.6035,-135.394,34.7692,221.085,45.0479,0.055527,6,1
151,28.8914,-41.7754,-146.603,-19.8653,96.7549,107.508,179.382,24.384,0.000422425,11,1
152,163.108,-64.5635,-111.501,18.7501,151.535,38.77,258.531,104.128,0.0012136,12,1
153,-19.3533,141.511,23.0495,-73.6085,-13.1685,83.9721,239.405,43.1723,0.000557931,22,1
154,63.7823,-134.123,6.04038,-16.2073,-13.9889,-10.0623,233.642,117.218,0.00035439,14,0
155,-20.0877,-109.137,66.7152,127.494,-110.85,-41.4701,236.736,78.8842,0.0025862,13,1
156,-68.1323,-128.409,65.5812,206.189,-42.8239,63.9909,232.523,39.8694,0.000216583,10,1
157,6.7674,-49.1545,8.40258,-123.608,22.0725,112.101,263.693,92.9703,0.000227947,10,1
158,-188.593,43.7851,-11.5844,89.8036,-9.51883,-75.5575,215.87,33.3469,0.0133921,16,1
159,-104.557,-95.7759,5.95535,-41.4388,-152.854,77.4012,259.146,63.289,0.00127627,10,1
160,-65.3,121.718,-67.2747,97.0593,65.868,145.178,211.724,117.291,0.000201461,12,1
161,129.08,125.312,-7.60475,84.747,7.45353,3.58657,261.4,28.3324,0.0890178,7,0
162,36.8564,-158.249,-18.7125,5.18703,72.245,4.79265,233.172,90.5949,0.00447818,20,0
163,40.4149,-94.0092,-55.2407,108.528,75.2645,21.2915,187.936,57.9297,0.000843944,18,1
164,-4.18737,-20.9256,61.1321,21.9513,-130.137,81.1698,201.993,70.9048,0.00320064,7,1
165,24.8675,-25.1885,-108.964,9.38883,70.7039,86.0815,201.514,64.3208,0.000833003,9,1
166,83.0024,-206.469,40.5493,-34.9091,-9.33771,58.118,236.153,48.8116,0.000207741,23,1
167,6.19055,153.626,1.11442,7.03552,-19.1768,-122.988,216.992,100.619,0.000587713,15,1
168,79.9848,0.434548,35.6111,16.2328,-52.1851,83.7788,175.579,47.1949,0.0074901,16,1
169,-20.8878,-186.938,15.8348,10.5955,1.56048,-97.4296,222.6,82.1044,0.0105431,17,1
170,-157.564,-9.33976,-2.62876,152.029,-60.4387,93.4941,219.273,42.1332,0.000212033,18,1
171,-10.4841,-17.28,-15.864,-5.94302,-97.3355,-97.876,208.154,118.786,0.000732546,2,1
172,53.7609,166.413,19.934,-61.8256,-110.219,39.4703,232.447,25.185,0.000626334,24,1
173,31.293,-90.0461,-220.982,0.475565,80.6269,145.171,216.007,33.6259,0.0191516,24,1
174,83.7546,-52.2935,-35.362,11.0868,-72.3461,-90.5457,216.058,69.5982,0.000111666,19,1
